"","Selling_Price","Present_Price","Kms_Driven","Fuel_Type","Seller_Type","Transmission","Owner","age"
"261",9.15,13.6,29223,0,0,0,0,5
"262",5.5,5.97,5600,0,0,0,0,5
"263",4,5.8,40023,0,0,0,0,6
"264",6.6,7.7,16002,0,0,0,0,5
"265",4,7,40026,0,0,0,0,6
"266",6.5,8.7,21200,0,0,0,0,4
"267",3.65,7,35000,0,0,0,0,7
"268",8.35,9.4,19434,1,0,0,0,5
"269",4.8,5.8,19000,0,0,0,0,4
"270",6.7,10,18828,0,0,0,0,6
"271",4.1,10,69341,0,0,0,0,10
"272",3,10,69562,0,0,0,0,12
"273",7.5,10,27600,0,0,0,0,6
"274",2.25,7.5,61203,0,0,0,0,11
"275",5.3,6.8,16500,0,0,0,0,7
"276",10.9,13.6,30753,0,0,1,0,5
"277",8.65,13.6,24800,0,0,0,0,6
"278",9.7,13.6,21780,0,0,0,0,6
"279",6,8.4,4000,0,0,0,0,5
"280",6.25,13.6,40126,0,0,0,0,7
"281",5.25,5.9,14465,0,0,0,0,6
"282",2.1,7.6,50456,0,0,0,0,15
"283",8.25,14,63000,1,0,0,0,7
"284",8.99,11.8,9010,0,0,0,0,5
"285",3.5,5.9,9800,0,0,0,0,8
"286",7.4,8.5,15059,0,0,1,0,5
"287",5.65,7.9,28569,0,0,0,0,5
"288",5.75,7.5,44000,0,0,1,0,6
"289",8.4,13.6,34000,0,0,0,0,6
"290",10.11,13.6,10980,0,0,0,0,5
"291",4.5,6.4,19000,0,0,0,0,7
"292",5.4,6.1,31427,0,0,0,0,6
"293",6.4,8.4,12000,0,0,0,0,5
"294",3.25,9.9,38000,0,0,0,0,11
"295",3.75,6.8,33019,0,0,0,0,7
"296",8.55,13.09,60076,1,0,0,0,6
"297",9.5,11.6,33988,1,0,0,0,5
"298",4,5.9,60000,0,0,0,0,6
"299",3.35,11,87934,0,0,0,0,12
"300",11.5,12.5,9000,1,0,0,0,4
"301",5.3,5.9,5464,0,0,0,0,5
