Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,age,S_Score
3.9,5.7,53000,1,0,0,0,8,406
5.5,5.7,4492,0,0,0,0,6,378
9.1,9.4,15141,0,0,0,0,4,844
3.1,4.43,11849,0,0,0,0,5,556
11.25,13.6,68000,1,0,0,0,6,853
4.8,9.4,60241,0,0,0,0,8,676
2,4.43,23709,0,0,0,0,9,432
5.35,9.4,32322,1,0,0,0,9,321
4.75,7.13,35866,0,0,0,1,6,551
4.4,7.13,34000,0,0,0,0,7,429
6.25,7.6,7000,0,0,0,0,5,584
5.95,9.4,49000,1,0,0,0,8,472
5.2,9.4,71000,1,0,0,0,9,614
3.75,6.79,35000,0,0,0,0,9,689
5.95,9.4,36000,0,0,0,0,6,484
4,4.6,30000,0,0,0,0,8,820
5.25,7.6,17000,0,0,0,0,5,791
12.9,13.6,35934,1,0,0,0,5,417
5,9.9,56701,0,0,0,0,8,439
5.4,6.82,31427,0,0,1,0,6,677
7.2,9.9,48000,1,0,0,0,7,437
5.25,9.9,54242,0,0,0,0,8,771
3,5.35,53675,0,0,0,0,9,898
10.25,13.6,49562,0,0,0,0,5,882
8.5,13.6,40324,0,0,0,0,6,528
8.4,13.6,25000,0,0,0,0,6,446
3.9,7,36054,0,0,0,0,7,640
9.15,13.6,29223,0,0,0,0,5,717
5.5,5.97,5600,0,0,0,0,5,753
4,5.8,40023,0,0,0,0,6,823
6.6,7.7,16002,0,0,0,0,5,627
4,7,40026,0,0,0,0,6,516
6.5,8.7,21200,0,0,0,0,4,442
3.65,7,35000,0,0,0,0,7,428
8.35,9.4,19434,1,0,0,0,5,897
4.8,5.8,19000,0,0,0,0,4,697
6.7,10,18828,0,0,0,0,6,765
4.1,10,69341,0,0,0,0,10,651
3,10,69562,0,0,0,0,12,352
7.5,10,27600,0,0,0,0,6,466
2.25,7.5,61203,0,0,0,0,11,715
5.3,6.8,16500,0,0,0,0,7,485
10.9,13.6,30753,0,0,1,0,5,546
8.65,13.6,24800,0,0,0,0,6,900
9.7,13.6,21780,0,0,0,0,6,700
6,8.4,4000,0,0,0,0,5,372
6.25,13.6,40126,0,0,0,0,7,599
5.25,5.9,14465,0,0,0,0,6,682
2.1,7.6,50456,0,0,0,0,15,591
8.25,14,63000,1,0,0,0,7,575
8.99,11.8,9010,0,0,0,0,5,880
3.5,5.9,9800,0,0,0,0,8,540
7.4,8.5,15059,0,0,1,0,5,600
5.65,7.9,28569,0,0,0,0,5,660
5.75,7.5,44000,0,0,1,0,6,641
8.4,13.6,34000,0,0,0,0,6,882
10.11,13.6,10980,0,0,0,0,5,366
4.5,6.4,19000,0,0,0,0,7,750
5.4,6.1,31427,0,0,0,0,6,733
6.4,8.4,12000,0,0,0,0,5,557
3.25,9.9,38000,0,0,0,0,11,727
3.75,6.8,33019,0,0,0,0,7,411
8.55,13.09,60076,1,0,0,0,6,436
9.5,11.6,33988,1,0,0,0,5,680
4,5.9,60000,0,0,0,0,6,468
3.35,11,87934,0,0,0,0,12,626
11.5,12.5,9000,1,0,0,0,4,578
5.3,5.9,5464,0,0,0,0,5,482
